Energy Loss (eV),Intensity (u.a.)
1.96E+01,2.15E+03
1.97E+01,2.18E+03
1.97E+01,2.25E+03
1.98E+01,2.22E+03
1.98E+01,2.16E+03
1.99E+01,2.15E+03
1.99E+01,2.16E+03
2.00E+01,2.09E+03
2.00E+01,2.14E+03
2.01E+01,2.25E+03
2.01E+01,2.13E+03
2.02E+01,2.20E+03
2.02E+01,2.20E+03
2.03E+01,2.17E+03
2.03E+01,2.12E+03
2.04E+01,2.12E+03
2.04E+01,2.07E+03
2.05E+01,2.06E+03
2.05E+01,2.06E+03
2.06E+01,2.10E+03
2.06E+01,2.07E+03
2.07E+01,2.09E+03
2.07E+01,2.09E+03
2.08E+01,2.05E+03
2.08E+01,2.02E+03
2.09E+01,1.97E+03
2.09E+01,2.07E+03
2.10E+01,2.05E+03
2.10E+01,2.04E+03
2.11E+01,2.03E+03
2.11E+01,1.99E+03
2.12E+01,2.00E+03
2.12E+01,2.01E+03
2.13E+01,2.05E+03
2.13E+01,2.02E+03
2.14E+01,1.98E+03
2.14E+01,1.87E+03
2.15E+01,1.94E+03
2.15E+01,1.89E+03
2.16E+01,1.89E+03
2.16E+01,2.02E+03
2.17E+01,2.00E+03
2.17E+01,1.90E+03
2.18E+01,2.04E+03
2.18E+01,1.89E+03
2.19E+01,1.88E+03
2.19E+01,1.96E+03
2.20E+01,1.94E+03
2.20E+01,1.92E+03
2.21E+01,1.91E+03
2.21E+01,1.94E+03
2.22E+01,1.86E+03
2.22E+01,1.93E+03
2.23E+01,1.97E+03
2.23E+01,1.87E+03
2.24E+01,1.97E+03
2.24E+01,1.90E+03
2.25E+01,1.92E+03
2.25E+01,1.81E+03
2.26E+01,1.80E+03
2.26E+01,1.88E+03
2.27E+01,1.89E+03
2.27E+01,1.87E+03
2.28E+01,1.84E+03
2.28E+01,1.84E+03
2.29E+01,1.84E+03
2.29E+01,1.80E+03
2.30E+01,1.78E+03
2.30E+01,1.84E+03
2.31E+01,1.80E+03
2.31E+01,1.91E+03
2.32E+01,1.84E+03
2.32E+01,1.72E+03
2.33E+01,1.80E+03
2.33E+01,1.76E+03
2.34E+01,1.78E+03
2.34E+01,1.78E+03
2.35E+01,1.76E+03
2.35E+01,1.81E+03
2.36E+01,1.78E+03
2.36E+01,1.82E+03
2.37E+01,1.73E+03
2.37E+01,1.64E+03
2.38E+01,1.72E+03
2.38E+01,1.76E+03
2.39E+01,1.74E+03
2.39E+01,1.71E+03
2.40E+01,1.66E+03
2.40E+01,1.75E+03
2.41E+01,1.73E+03
2.41E+01,1.70E+03
2.42E+01,1.72E+03
2.42E+01,1.75E+03
2.43E+01,1.68E+03
2.43E+01,1.68E+03
2.44E+01,1.72E+03
2.44E+01,1.73E+03
2.45E+01,1.74E+03
2.45E+01,1.63E+03
2.46E+01,1.69E+03
2.46E+01,1.55E+03
2.47E+01,1.61E+03
2.47E+01,1.64E+03
2.48E+01,1.65E+03
2.48E+01,1.71E+03
2.49E+01,1.64E+03
2.49E+01,1.63E+03
2.50E+01,1.74E+03
2.50E+01,1.60E+03
2.51E+01,1.69E+03
2.51E+01,1.70E+03
2.52E+01,1.62E+03
2.52E+01,1.68E+03
2.53E+01,1.60E+03
2.53E+01,1.70E+03
2.54E+01,1.58E+03
2.54E+01,1.61E+03
2.55E+01,1.56E+03
2.55E+01,1.57E+03
2.56E+01,1.48E+03
2.56E+01,1.54E+03
2.57E+01,1.53E+03
2.57E+01,1.54E+03
2.58E+01,1.55E+03
2.58E+01,1.53E+03
2.59E+01,1.56E+03
2.59E+01,1.62E+03
2.60E+01,1.69E+03
2.60E+01,1.62E+03
2.61E+01,1.64E+03
2.61E+01,1.58E+03
2.62E+01,1.56E+03
2.62E+01,1.58E+03
2.63E+01,1.56E+03
2.63E+01,1.67E+03
2.64E+01,1.69E+03
2.64E+01,1.54E+03
2.65E+01,1.51E+03
2.65E+01,1.61E+03
2.66E+01,1.57E+03
2.66E+01,1.51E+03
2.67E+01,1.50E+03
2.67E+01,1.56E+03
2.68E+01,1.55E+03
2.68E+01,1.61E+03
2.69E+01,1.60E+03
2.69E+01,1.59E+03
2.70E+01,1.48E+03
2.70E+01,1.55E+03
2.71E+01,1.58E+03
2.71E+01,1.51E+03
2.72E+01,1.53E+03
2.72E+01,1.48E+03
2.73E+01,1.45E+03
2.73E+01,1.54E+03
2.74E+01,1.55E+03
2.74E+01,1.50E+03
2.75E+01,1.61E+03
2.75E+01,1.51E+03
2.76E+01,1.52E+03
2.76E+01,1.54E+03
2.77E+01,1.57E+03
2.77E+01,1.53E+03
2.78E+01,1.53E+03
2.78E+01,1.48E+03
2.79E+01,1.51E+03
2.79E+01,1.60E+03
2.80E+01,1.57E+03
2.80E+01,1.55E+03
2.81E+01,1.61E+03
2.81E+01,1.57E+03
2.82E+01,1.51E+03
2.82E+01,1.63E+03
2.83E+01,1.61E+03
2.83E+01,1.56E+03
2.84E+01,1.56E+03
2.84E+01,1.45E+03
